,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
77,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4227,ZH,Zurich,N,GL,Groupe vert'libéral,Daniel,Membre,www.daniel-frei.ch,4227,Frei,3128,pvl,Parti vert'libéral,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3128.jpg,2019-03-06T08:32:38Z
78,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4074,JU,Jura,N,S,Groupe socialiste,Pierre-Alain,Membre,,4074,Fridez,2778,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2778.jpg,2016-02-02T10:36:06Z
79,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4131,SG,St-Gall,N,S,Groupe socialiste,Claudia,Membre,www.claudia-friedl.ch,4131,Friedl,3035,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3035.jpg,2015-11-12T09:05:09Z
80,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3880,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Andrea Martina,Membre,www.andreageissbühler.ch,3880,Geissbühler,2683,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2683.jpg,2018-09-19T08:00:24Z
81,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4191,GE,Genève,N,RL,Groupe libéral-radical,Benoît,Membre,,4191,Genecand,3073,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3073.jpg,2015-11-06T17:43:13Z
82,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=825,SH,Schaffhouse,S,V,Groupe de l'Union démocratique du Centre,Hannes,Membre,www.hannesgermann.ch,825,Germann,2575,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2575.jpg,2019-01-08T09:13:48Z
83,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=91,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Ulrich,Membre,www.giezi-rothrist.ch,91,Giezendanner,2292,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2292.jpg,2018-01-16T14:50:10Z
84,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3882,ZH,Zurich,N,G,Groupe des Verts,Bastien,Membre,www.bastiengirod.ch,3882,Girod,2685,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2685.jpg,2018-06-08T08:45:13Z
85,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1337,LU,Lucerne,N,C,Groupe PDC,Ida,Membre,www.ida-glanzmann.ch,1337,Glanzmann-Hunkeler,2657,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2657.jpg,2018-02-21T08:49:27Z
86,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4161,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Andreas,Membre,www.andreas-glarner.ch,4161,Glarner,3074,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3074.jpg,2019-01-14T13:31:08Z
